index,query,question_type,true_label,prediction,correct
774,What is the color of DK?,0,gray,light gray,0
775,What is the difference between the percentage of Acceptable and Unacceptable?,0,20,20%,1
776,What's the percentage of people choosing only a little?,0,19,19%,1
777,Are the top two options the same value?,0,Yes,Yes,1
778,Is the color of 65% segment blue?,0,Yes,Yes,1
779,What's the ratio of smallest segment and second largest segment?,0,0.07407,0.07407,1
780,What 51% says for the question?,0,Cut off military aid in order to pressure Egyptian gov't,Cut off military aid in order to pressure Egyptian gov't,1
781,How many times cut off military aid is greater than continue military aid?,0,1.96,1.96,1
782,What is 33% answer to the question?,0,Usability problem,Usability problem,1
783,Find the ratio between Internet not relevant vs Price?,0,1.78947,1.79,0
784,What's the percentage of adults without health insurance who do not use internet?,0,21,21%,1
785,"Multiply smallest segment by 3, is the result greater than largest segment?",0,No,No,1
786,How many color are shown in the Pie chart?,0,4,5,0
787,Add up all the three least value and then find the difference between Mostly politics and controversies and the sum total?,0,12,12%,1
788,How many parts is the segment divided in Pie chart?,0,3,3,1
789,What is the sum of two lowest value in the Pie chart?,0,43,43%,1
790,Which leader is analysed in the chart?,0,Obama,Obama,1
791,How many times disapprove greater than Approve?,0,2.185,2.19,0
792,What is the percentage in Major problem?,0,0.1,10%,0
793,What is the ratio between Minor problem and Not a problem?,0,1.26315,1.263,0
794,Is the value of Very satisfied segment 3%?,0,Yes,Yes,1
795,"Take sum of two smallest segment, multiply it by 3, is the result equal to third largest segment?",0,Yes,Yes,1
796,"DK is smallest segment, is it true?",0,Yes,False,0
797,Is the difference between largest and smallest segment greater than median?,0,Yes,Yes,1
798,What's the color of the biggest segment of the graph?,0,orange,gold,0
799,What's the difference in the value of smallest two segment of the graph?,0,10,10%,1
800,What's the color of the biggest segment of the graph?,0,Dark Brown,brown,0
801,What's the difference in the value of smallest two segment of the graph?,0,19,19%,1
802,What is the value of the largest segment?,0,61,61%,1
803,Is the add up value of smallest and 2nd largest segment is equal to largest segment value?,0,No,No,1
804,What is the value of the smallest segment?,0,23,23%,1
805,Is the add up value of smallest and 2nd largest segment is equal to largest segment value?,0,No,No,1
806,What's the most popular opinion?,0,Very big problem,Very big problem,1
807,What's the percentage of people thinking it's a big problem?,0,82,82%,1
808,What's the most popular opinion?,0,Needs major changes,45%,0
809,What's the percentage of people thinking it needs change or rebuilt?,0,0.66,66%,0
810,What's the percentage of respondents are not sure if local TV Newsrooms budgest grew in 2012?,0,7,7%,1
811,What is the median of three smallest segment?,0,38.5,7%,0
812,What's the percentage of mexicans who support using army to fight drug traffickers?,0,85,85%,1
813,What is the largest value?,0,0.85,85%,0
814,Is largest segment name Easier?,0,Yes,Yes,1
815,What's the ratio of largest and smallest segment?,0,2.77777778,2.78,0
816,What's the percentage of adults who say that abortion should be legal in most cases?,0,0.33,33%,0
817,Is the median of all segments greater than sum of two smallest segment?,0,No,No,1
818,What does Grey represent in the Pie graph?,0,DK,DK,1
819,What is the difference between the highest and lowest value.?,0,72,72%,1
820,What is the color of DK?,0,Light yellow,Light beige,0
821,What is the difference between the highest and lowest value.?,0,52,52%,1
822,How many parts is the graph divided into?,0,3,3,1
823,What is the average of the graph?,0,33,33%,1
824,Which value represents the largest percentage of the graph?,0,Favor,39%,0
825,"What is the total value between ""oppose"" and ""favor""?",0,69,69%,1
826,What shows the highest value in the Pie chart?,0,Armed struggle,Armed struggle,1
827,What is the difference between the highest and lowest value?,0,42,42%,1
828,How many sectors are in the pie chart?,0,4,4,1
829,What is the difference between the highest and lowest value?,0,35,35%,1
830,Is there only three segments in the pie chart?,0,Yes,Yes,1
831,What's the ratio of two largest segment?,0,1,1,1
832,Is the largest segment has darkest color?,0,Yes,Yes,1
833,"Take the smallest segment, multiply it by 5, is the result equals to second smallest segment?",0,Yes,Yes,1
834,What value  Does light orange shows in a Pie graph?,0,20,20%,1
835,Is the sum of No confidence and Dk less then Confidence?,0,Yes,Yes,1
836,What colour does support represent?,0,Dark Brown,brown,0
837,Is the value of Support more then Oppose?,0,Yes,Yes,1
838,What's the percentage of respondents who would not move to U.S?,0,61,61%,1
839,Is the ratio of two smallest segment 1:5?,0,Yes,Yes,1
840,What's the percentage of Good opinion?,0,70,70%,1
841,Is the largest segment 10 times bigger than smallest segment?,0,Yes,Yes,1
842,What's the percentage of respondents who would move to U.S. with authorization?,0,15,15%,1
843,"Add all the segment with values below 30, deduct the result from largest segment, what's the result?",0,23,23%,1
844,What's the percentage of respondents who oppose for army to fight drug traffickers?,0,13,13%,1
845,"Deduct median segment from largest segment, what's the result?",0,72,72%,1
846,What's the value of largest section?,0,44,44%,1
847,What's the toatal sum value of largest two segment?,0,79,79%,1
848,What's the value of Like it segment?,0,29,29%,1
849,What's the difference in the value of largest segment and smallest segment?,0,27,27%,1
850,What is the percentage of eligible for citizenship?,0,0.43,43%,0
851,What is the percentage of 'be eligible for citizenship'?,0,0.43,43%,0
852,What is the percentage value of don't know?,0,0.02,6%,0
853,What is the color of the largest pie?,0,Dark yellow,Gold,0
854,What does 60 percent represent in the Pie chart?,0,Strictly follow the Quran,Strictly follow the Quran,1
855,What is the color of the largest pie?,0,Dark Brown,dark brown,1
856,In how many parts is the Pie chart divided into?,0,5,5,1
857,What is the difference in value between Completely agree and sum of Dk and Mostly agree in Pie chart?,0,2,2%,1
858,What is the color of Second lowest valve?,0,Green,Green,1
859,What is the sum of two lowest value in the Pie chart?,0,14,14%,1
860,In how many segment is the Pie chart divided?,0,5,5,1
861,Adding the lowest Three value and Is the sum more then the highest value in Pie chart?,0,Yes,Yes,1
862,What's the name of biggest segment?,0,Both,Both,1
863,What's the total add up value of biggest and smallest segment?,0,64,64%,1
864,Which occupied most in the pie chart?,0,No,No,1
865,How many times No bigger than DK?,0,30.5,30.5,1
866,What's the percentage of respondents who approve of government's recovery efforts?,0,37,37%,1
867,What's the difference between two segments whose value is below 50?,0,33,33%,1
868,What is the value correspond to yes?,0,0.47,47%,0
869,How many times yes bigger than No?,0,1.34,1.34,1
870,What is Dissatisfied percentage?,0,0.33,33%,0
871,"As per the study, if you ask 500 people, how many will say satisfied?",0,280,280,1
872,Is there any segment whose value is 20%?,0,No,No,1
873,What's the ratio of second largest segment and Postive segment?,0,1.4,1.4,1
874,"What's the percentage value of ""Hurt less"" opinion?",0,0.05,5%,0
875,What's the sum of median segment and smallest segment?,0,0.43,43%,0
876,What is the percentage value for approve?,0,27,27%,1
877,What is the percentage difference between approve and disapprove?,0,32,32,1
878,What is the smallest percentage value for the DK/Ref?,0,13,13%,1
879,What is the percentage difference between the smallest percent of DK/Ref to Disapprove?,0,46,46%,1
880,What's the percentage value of DK segment?,0,14,14%,1
881,Is the sum of two smallest segment equals to largest segment?,0,Yes,Yes,1
882,What's the percentage of unauthorized adults who were U.S. residents for 5-9 years?,0,22,22%,1
883,"Add average and medians of all the segments, is it greater than sum of two largest segment?",0,No,No,1
884,Is Don't know/Refused smallest segment?,0,Yes,Yes,1
885,What's the ratio of largest and second smallest segment?,0,2.6,2.6,1
886,What's the percentage of respondents who would not move to the U.S.?,0,0.61,61%,0
887,"Divide second smallest segment by smallest segment, what's the result?",0,9,9,1
888,What does dark color represent?,0,Satisfied,Satisfied,1
889,What is the average of Dissatisfied and Satisfied?,0,0.49,49%,0
890,What does 9 percent show in Pie chart?,0,Don't know,Don't know,1
891,"IS the sum of Yes challenge Obama and Don't know more then No, do not challenge?",0,No,No,1
892,What color does the highest value in Pie chart represent?,0,Dark blue,DarkBlue,1
893,I the sum of two least value segment is more then Essential?,0,No,No,1
894,In How many parts is the segment divided?,0,3,3,1
895,What is the difference of Essential and Not essential in Pie graph?,0,20,20%,1
896,Which color represent Don't know?,0,Light grey,White,0
897,What are the percentage of neither and both?,0,"[12, 4]","[12%, 4%]",1
898,What's the value of largest pie of the chart?,0,37,37%,1
899,What's the difference of value of Largest and the smallest pie?,0,31,31%,1
900,What's the largest section of pie represents?,0,Stronger,Stronger,1
901,What's the add up value of smallest two pie of the graph?,0,10,10%,1
902,What's the percentage of respondents are not worried about exposure to rediation?,0,40,40%,1
903,What's the ratio of Not worried segment and sum of largest and smallest segment (A:B)?,0,0.085416667,2:3,0
904,"What's the percentage of respondents who say ""Use of nuclear power should be reduced""?",0,44,44%,1
905,"Take sum of two smallest segment and difference between two largest segment, divide larger value by smaller value, what's the result?",0,5,5,1
906,What is the percentage in no opinion?,0,14,14%,1
907,What is the percentage of other reasons and economic force?,0,"[10, 12]",22%,0
908,What is the percentage in red segment?,0,0.17,17%,0
909,What are the percentage in democrat and no partisan leaning?,0,"[47, 13]","[47%, 13%]",1
910,What percentage of Democrats agree with tea party movement?,0,47,Unknown,0
911,What's the difference between Democrats and Republicans on agreeing with tea party movement?,0,30,17%,0
912,What's the percentage of children that are born in US?,0,79,79%,1
913,What is the radio of children between born in US and born abroad?,0,3.7619,3.76,0
914,What is thecolor of the smallest segment?,0,blue,steel blue,0
915,What is the difference between the two largest segments?,0,0.096,9.60%,0
916,What is the color of Don't Know segment?,0,gray,beige,0
917,What is the difference between the two largest segments?,0,25,25,1
918,What value does Mostly Bad news shows?,0,31,31,1
919,What is the difference in Mostly bad news and A mix of good and bad news?,0,17,17,1
920,What represent 76 percent in the Pie chart?,0,Have not heard of Latinx,Have not heard of Latinx,1
921,What is the sum of Use Latinx and Have heard of Latinx?,0,23,26%,0
922,What's the no.1 generation in the chart?,0,Gen Y,Gen Y,1
923,What's the sum of boomers?,0,35,35%,1
924,What's the no.1 country/region in the chart?,0,Mexico,Mexico,1
925,What's the sum of illegal immigrants from Mexico and Asia?,0,0.71,71%,0
926,What is the highest value of the yellow bar?,0,45,45,1
927,What is the total distribution of favorable and unfavorable Liberal view?,0,60,60,1
928,What is the lowest value of the green bar?,0,27,27,1
929,What is the difference between the highest and lowest green bar?,0,52,52,1
930,What's the percentage of White officers saying that wearing body cameras would make officers more likely to act appropriately?,0,0.46,46,0
931,What's the occurrences of bar with value 5?,0,3,3,1
932,What is the color of the bar with value of 31?,0,Dark green,Green,0
933,What is the sum of the highest and lowest green bar?,0,91,91,1
934,How many colors are in the bar?,0,3,3,1
935,What is the total distribution of not far enough for all responses?,0,27,27,1
936,What is lowest value of yellow bar?,0,13,13,1
937,What is the sum value of disapproved and approved total distribution?,0,94,94,1
938,What is lowest value of yellow bar?,0,38,38,1
939,What is the sum value of Rep/Lean Rep and Dem/Lean dem having responsibility?,0,117,117,1
940,What's the percentage of Mod/Lib who say Donald Trump will be too cautious in making important decisions?,0,5,5,1
941,"What's the ratio of largest and smallest bar in ""Conserv/Mod"" category?",0,11,11,1
942,What's the percentage of Rep/Lean Rep who recently had a conversation about Trump's election with someone who supported Clinton?,0,45,45,1
943,Is the maximum value of Trump bars equals to minimum value of Clinton bars?,0,No,No,1
944,What's the percentage of Dem/Lean Dem who say Donald Trump's views are Liberal on all/most issues?,0,11,11,1
945,How many color are used to represent different views?,0,4,4,1
946,Which category is more likely to choose are worth the cost?,0,Dem/Lean Dem,Liberal,0
947,"Which age group are most likely to choose ""Are worth the cost""?",0,18-29,18-29,1
948,What is the percentage for scientists bar?,0,60,60,1
949,Find the ratio between Scientists and small-farm owners?,0,1,1,1
950,Which leader's survey data represent in the chart?,0,Trump,Trump,1
951,"What is the share of Rep/Lean Rep that response ""he will need to be more cautious""?",0,82,76,0
952,"Identify the category from the given data , 30,33,25,9?",0,Rich & poor,Rich & poor,1
953,What is the average of strong data?,0,31,31,1
954,What's the value of A lot opinion for Muslims?,0,57,57,1
955,How many bars have value equal to 27?,0,2,2,1
956,What's the percentage of U.S. adults who feel overloaded by information in 2016?,0,0.2,20%,0
957,"Multiply largest gray bar by 2, is the result greater than smallest blue bar?",0,No,No,1
958,What's the value of first Very well bar from the bottom?,0,41,41,1
959,Add all the bars whose value exceeds 40?,0,146,386,0
960,What's the number of refugees resettled in 2016 in Taxas?,0,7803,7803,1
961,Is the average of first two bars from the bottom greater than smallest bar?,0,Yes,Yes,1
962,What's the percentage value of Worse off opinion in Latin America?,0,35,35%,1
963,Is the median of green bars greater than smallest value of orange bar?,0,Yes,Yes,1
964,What's the color of left-side bars?,0,Orange,orange,1
965,What's the ratio of second smallest and third largest gray bar?,0,0.6,0.6,1
966,What color does value 32 shows?,0,Green,Green,1
967,Scientists understand health effects of GM foods in fairly well more then Climate scientist understand causes of climate change?,0,Yes,True,0
968,What does the least value represent?,0,Justice Department,Justice Department,1
969,What is the difference in Military and Judge?,0,0.03,3,0
970,Is the color of smallest bar green?,0,Yes,Yes,1
971,Is the median of navy blue bars greater than largest value of light blue bar?,0,Yes,Yes,1
972,What's the percentage of mothers saying father does more handling household chores?,0,0.04,4,0
973,How many gray bars value exceed 50?,0,1,1,1
974,What is the highest value in yes?,0,81,81,1
975,Is the No value in Men more then women?,0,No,No,1
976,What does the Dark Blue color represent in the graph?,0,No,No,1
977,"What is the average share of ""Not sure"" opinion?",0,40.333333,40,0
978,What is the value of smallest bar?,0,10.1,10.1,1
979,What is the difference in the value of longest bar and smallest bar?,0,7.5,7.5,1
980,What does orange bar represents?,0,Better,Better,1
981,What is the average value of all Orange bars?,0,15,15%,1
982,"Identify from the chart, What is the Cuban percentage to Clinton (D)?",0,41,41,1
983,"Look at the Non-cuban Lations, Find out how many times Clinton(D) bigger than Trump(R)?",0,2.73,2.73,1
984,What is green bar represents?,0,Stay in our country,Stay in our country,1
985,What is the ratio between Move to another country vs stay in our country in Kenya?,0,0.26923,0.27,0
986,"What's the percentage of Muslims in Nigeria who have ""Benefit of all"" opinion?",0,53,53,1
987,"Take median of green bars in Kenya, multiply it by 2, is the result greater than median of orange bar in Kenya?",0,Yes,True,0
988,What's the percentage of users who use LinkedIn daily?,0,18,18,1
989,What's the ratio of medians of navy blue bars and light blue bars?,0,1.61538,1.27,0
990,Is the percentage value of smallest orange bar 32?,0,Yes,Yes,1
991,What's the difference between sum of upper and lower bars?,0,4,4%,1
992,What's the percentage of Japanese approve of the way Prime Minister Shinzo Abe is handling the economy?,0,52,52,1
993,How many green bars have value above 50?,0,3,3,1
994,What is orange data represents?,0,Less important,Less important,1
995,What is the ratio in china category between less important vs more important?,0,0.13333,0.133,0
996,What does colour Dark Green represent?,0,Very important,Very important,1
997,What percent think Not at all important of having been born in Japan?,0,8,8%,1
998,What is the color that show 29 percent in Japan?,0,gray,light gray,0
999,What is the difference of value in More important and As important in china?,0,19,19,1
